epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21444.3,0.34842,0.50129,0.98147,0.91682,0.92655,0.96968,0.93903,0.29541,0.39005,0.46802,0.000848969,0.000848969,0.000848969
43,21940.5,0.35258,0.48701,0.9912,0.90578,0.92117,0.9687,0.94622,0.25933,0.37022,0.38926,0.000834822,0.000834822,0.000834822
44,22438.4,0.35806,0.48524,0.98742,0.90874,0.96032,0.97628,0.94181,0.27775,0.36054,0.42458,0.000820675,0.000820675,0.000820675
45,22963.2,0.35523,0.48543,0.98531,0.88762,0.93046,0.96985,0.95355,0.26066,0.40988,0.38972,0.000806528,0.000806528,0.000806528
46,23483.8,0.35261,0.48706,0.98942,0.93103,0.93625,0.97663,0.95205,0.25169,0.34767,0.41402,0.00079238,0.00079238,0.00079238
47,23987.5,0.3418,0.46718,0.9872,0.89747,0.967,0.98036,0.95559,0.26412,0.33063,0.42991,0.000778233,0.000778233,0.000778233
48,24491.5,0.33906,0.46184,0.98354,0.92836,0.9365,0.97715,0.96381,0.22589,0.34304,0.37174,0.000764086,0.000764086,0.000764086
49,24990.6,0.33287,0.43916,0.97725,0.93888,0.91941,0.96603,0.94538,0.25019,0.36198,0.39085,0.000749939,0.000749939,0.000749939
50,25492.2,0.33145,0.45098,0.97752,0.92818,0.94582,0.97983,0.95997,0.2387,0.3226,0.38726,0.000735792,0.000735792,0.000735792
51,25962.8,0.31837,0.43507,0.96816,0.93988,0.94291,0.9819,0.9735,0.20533,0.30071,0.33916,0.000721645,0.000721645,0.000721645
52,26458.8,0.31731,0.42508,0.96723,0.94257,0.94555,0.97646,0.96433,0.22898,0.32121,0.37954,0.000707498,0.000707498,0.000707498
53,26953.4,0.32588,0.43102,0.97545,0.93399,0.93394,0.97556,0.96631,0.19945,0.32363,0.32937,0.000693351,0.000693351,0.000693351
54,27453.6,0.31932,0.43689,0.96697,0.91838,0.97279,0.98404,0.97725,0.20502,0.27904,0.34959,0.000679204,0.000679204,0.000679204
55,27949.6,0.31729,0.42507,0.96575,0.95225,0.92171,0.98188,0.96682,0.21944,0.29715,0.35481,0.000665057,0.000665057,0.000665057
56,28445.6,0.31379,0.42992,0.9624,0.91179,0.92024,0.97076,0.96131,0.21169,0.34906,0.34878,0.000650909,0.000650909,0.000650909
57,28938,0.31063,0.42844,0.96299,0.91011,0.90906,0.97017,0.95802,0.19069,0.35457,0.32864,0.000636762,0.000636762,0.000636762
58,29445.7,0.3092,0.40922,0.95985,0.92695,0.93259,0.98008,0.96734,0.21378,0.30709,0.3374,0.000622615,0.000622615,0.000622615
59,29947.9,0.30494,0.4011,0.95873,0.89952,0.96678,0.9716,0.95187,0.24875,0.32982,0.37397,0.000608468,0.000608468,0.000608468
60,30446.4,0.30578,0.40438,0.96007,0.91061,0.94174,0.97782,0.96138,0.21986,0.30625,0.33892,0.000594321,0.000594321,0.000594321
61,30945.2,0.29783,0.41024,0.95749,0.91461,0.96199,0.9795,0.96415,0.21214,0.28279,0.34103,0.000580174,0.000580174,0.000580174
62,31445.8,0.29669,0.40978,0.95257,0.93152,0.94552,0.97909,0.9651,0.21471,0.29271,0.32956,0.000566027,0.000566027,0.000566027
63,31948.3,0.29764,0.40045,0.95839,0.90522,0.98269,0.9774,0.96757,0.20437,0.30077,0.32873,0.00055188,0.00055188,0.00055188
64,32462.1,0.29577,0.4139,0.95795,0.91808,0.93582,0.97496,0.96468,0.18192,0.29711,0.31712,0.000537733,0.000537733,0.000537733
65,32971.6,0.28088,0.3847,0.94625,0.9017,0.92178,0.96886,0.96264,0.17747,0.32978,0.30167,0.000523586,0.000523586,0.000523586
66,33476,0.28869,0.40193,0.95086,0.91985,0.94953,0.97865,0.96921,0.19731,0.29332,0.31636,0.000509438,0.000509438,0.000509438
67,33983.2,0.28291,0.38221,0.94978,0.89978,0.96643,0.97555,0.96708,0.19993,0.28574,0.33149,0.000495291,0.000495291,0.000495291
68,34493.4,0.28743,0.38646,0.95532,0.92248,0.91704,0.97281,0.96519,0.19047,0.35784,0.31165,0.000481144,0.000481144,0.000481144
69,34997.7,0.28721,0.37471,0.95458,0.94267,0.91321,0.97604,0.96947,0.20833,0.31098,0.32426,0.000466997,0.000466997,0.000466997
70,35503.4,0.27027,0.38108,0.94539,0.9396,0.94199,0.97792,0.97344,0.16476,0.28011,0.28141,0.00045285,0.00045285,0.00045285
71,36007.7,0.27861,0.38217,0.9517,0.91427,0.96026,0.97756,0.96851,0.18975,0.30153,0.31735,0.000438703,0.000438703,0.000438703
72,36516.8,0.27664,0.36731,0.94489,0.92291,0.94221,0.9775,0.96918,0.19156,0.30137,0.30786,0.000424556,0.000424556,0.000424556
73,37018.5,0.26632,0.35866,0.94782,0.94237,0.95071,0.97936,0.97226,0.19283,0.27179,0.30711,0.000410409,0.000410409,0.000410409
